"osm_id","date_time","link_dir","speed_kmph","n_time","n_day","stores","n_month","highway","road_lt_m","bus_stop"
197107696,"2018-04-01 06:00:00",1,32,"06:00","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
176665188,"2018-04-01 06:00:00",1,41,"06:00","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
174019380,"2018-04-01 06:00:00",1,17,"06:00","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
13769164,"2018-04-01 06:15:00",1,10,"06:15","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
197107696,"2018-04-01 06:15:00",1,49,"06:15","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
174019380,"2018-04-01 06:30:00",1,19,"06:30","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
174019380,"2018-04-01 06:15:00",1,19,"06:15","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
176665188,"2018-04-01 06:15:00",1,40,"06:15","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
13769164,"2018-04-01 06:30:00",1,19,"06:30","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
176665188,"2018-04-01 06:30:00",1,39,"06:30","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
197107696,"2018-04-01 06:30:00",1,46,"06:30","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
174019380,"2018-04-01 06:45:00",1,18,"06:45","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
197107696,"2018-04-01 06:45:00",1,36,"06:45","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
13769164,"2018-04-01 06:45:00",1,9,"06:45","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
176665188,"2018-04-01 06:45:00",1,43,"06:45","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
13769164,"2018-04-01 07:00:00",1,19,"07:00","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
174019380,"2018-04-01 07:00:00",1,24,"07:00","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
13769164,"2018-04-01 07:15:00",1,47,"07:15","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
197107696,"2018-04-01 07:00:00",1,44,"07:00","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
176665188,"2018-04-01 07:00:00",1,38,"07:00","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
174019380,"2018-04-01 07:15:00",1,28,"07:15","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
13769164,"2018-04-01 07:30:00",1,19,"07:30","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
176665188,"2018-04-01 07:15:00",1,40,"07:15","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
197107696,"2018-04-01 07:15:00",1,48,"07:15","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
174019380,"2018-04-01 07:30:00",1,28,"07:30","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
176665188,"2018-04-01 07:30:00",1,45,"07:30","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
174019380,"2018-04-01 07:45:00",1,26,"07:45","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
13769164,"2018-04-01 07:45:00",1,26,"07:45","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
197107696,"2018-04-01 07:30:00",1,36,"07:30","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
13769164,"2018-04-01 08:00:00",1,31,"08:00","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
176665188,"2018-04-01 07:45:00",1,41,"07:45","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
197107696,"2018-04-01 07:45:00",1,43,"07:45","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
174019380,"2018-04-01 08:00:00",1,27,"08:00","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
176665188,"2018-04-01 08:00:00",1,40,"08:00","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
197107696,"2018-04-01 08:15:00",1,47,"08:15","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
13769164,"2018-04-01 08:15:00",1,41,"08:15","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
197107696,"2018-04-01 08:00:00",1,47,"08:00","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
174019380,"2018-04-01 08:15:00",1,21,"08:15","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
176665188,"2018-04-01 08:15:00",1,44,"08:15","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
176665188,"2018-04-01 08:30:00",1,36,"08:30","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
13769164,"2018-04-01 08:30:00",1,38,"08:30","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
174019380,"2018-04-01 08:30:00",1,29,"08:30","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
13769164,"2018-04-01 08:45:00",1,11,"08:45","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
197107696,"2018-04-01 08:30:00",1,34,"08:30","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
197107696,"2018-04-01 08:45:00",1,41,"08:45","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
174019380,"2018-04-01 08:45:00",1,17,"08:45","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
176665188,"2018-04-01 08:45:00",1,41,"08:45","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
13769164,"2018-04-01 09:00:00",1,24,"09:00","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
